,probability
"A romantic and dreamy scene of a couple in a hot air balloon, floating over a picturesque countryside.",0.907109260559082
An exciting and adrenaline-fueled scene of a hot air balloon race over a vast canyon.,0.7931846380233765
"A dynamic and exciting skateboard park with jumps, ramps, and half-pipes, surrounded by the city skyline.",0.6900111436843872
"A dramatic mountain climber scene with a group of mountaineers scaling a sheer cliff face, braving wind and cold to reach the summit.",0.44119518995285034
"A mystical forest with a majestic unicorn standing in a clearing, surrounded by glowing flowers.",0.1790148764848709
"A cozy and festive holiday scene with a fireplace, stockings, and a Christmas tree decorated with lights and ornaments.",0.09181738644838333
"A romantic and picturesque scene of a couple stargazing in a field at night, with shooting stars and the Milky Way overhead.",0.08893904089927673
A mystical and spiritual scene of a meditating monk in a temple surrounded by cherry blossoms.,0.07147777825593948
"A peaceful and romantic scene of a couple sitting in a gondola, being serenaded on a moonlit canal in Venice, Italy.",0.05916628614068031
"A dreamy and surreal cloudscape scene with fluffy white clouds, a rainbow, and a hot air balloon floating in the distance.",0.03672575205564499
"A surreal cityscape with floating buildings, a rainbow bridge, and a giant clocktower in the center.",0.00913561787456274
"A majestic and awe-inspiring scene of a safari in Africa with elephants, lions, and a beautiful sunset in the background.",0.004408172331750393
"A vibrant and colorful scene of a street market in Marrakech, Morocco with spices, textiles, and street performers.",0.0025495230220258236
"A snowy wonderland with towering ice sculptures, sleighs, and a castle made of ice.",0.0013380307937040925
"A spooky and eerie abandoned carnival scene with empty rides, broken lights, and a creepy clown lurking in the shadows.",9.184532245853916e-05
