,probability
"A romantic and dreamy scene of a couple in a hot air balloon, floating over a picturesque countryside.",0.7206481099128723
"A dramatic mountain climber scene with a group of mountaineers scaling a sheer cliff face, braving wind and cold to reach the summit.",0.5396328568458557
"A romantic and picturesque scene of a couple stargazing in a field at night, with shooting stars and the Milky Way overhead.",0.4994613826274872
An exciting and adrenaline-fueled scene of a hot air balloon race over a vast canyon.,0.4541328251361847
"A dynamic and exciting skateboard park with jumps, ramps, and half-pipes, surrounded by the city skyline.",0.34929823875427246
"A peaceful and romantic scene of a couple sitting in a gondola, being serenaded on a moonlit canal in Venice, Italy.",0.31867048144340515
"A surreal cityscape with floating buildings, a rainbow bridge, and a giant clocktower in the center.",0.2976140081882477
"A dreamy and surreal cloudscape scene with fluffy white clouds, a rainbow, and a hot air balloon floating in the distance.",0.2007799744606018
"A cozy and festive holiday scene with a fireplace, stockings, and a Christmas tree decorated with lights and ornaments.",0.19266068935394287
"A snowy wonderland with towering ice sculptures, sleighs, and a castle made of ice.",0.15050216019153595
A mystical and spiritual scene of a meditating monk in a temple surrounded by cherry blossoms.,0.12875179946422577
"A majestic and awe-inspiring scene of a safari in Africa with elephants, lions, and a beautiful sunset in the background.",0.1285487711429596
"A mystical forest with a majestic unicorn standing in a clearing, surrounded by glowing flowers.",0.12751097977161407
"A spooky and eerie abandoned carnival scene with empty rides, broken lights, and a creepy clown lurking in the shadows.",0.020336059853434563
"A vibrant and colorful scene of a street market in Marrakech, Morocco with spices, textiles, and street performers.",0.008186593651771545
